,Post_ID,Post_Profile,Post_Caption,Post_Date,Post_URL,Post_Likes,Post_Comments,Comment_ID,Comment_Username,Comment_Text,Comment_Time
211,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17990794519488474,al_barkat_gfx,,2022-06-06 15:47:31
212,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17937208658169541,malak_ziz,,2022-06-11 17:32:24
213,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17883484559668912,carpetcontinentcenter,,2022-06-13 04:29:20
214,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17936791334284577,mdrajabbbb,Hi,2022-06-13 12:19:22
215,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17913577607422179,mdrajabbbb,Hi,2022-06-13 12:19:32
216,2851769589773177560,yapuae,"Want to keep a tab on your expenses? With YAP’s intuitive dashboard, access your expenses and start spending your money wisely 💡",2022-06-02 13:44:17,https://www.instagram.com/p/CeThVUjsRLY,33,1,17943340120908921,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-06-02 13:44:27
217,2851097209824654103,yapuae,"Use YAP to make payments on the go. 

Choose simplified banking…choose YAP.",2022-06-01 15:28:14,https://www.instagram.com/p/CeRIc57tLMX,23,1,17926280933461636,yapuae,YAP YAPUAE DigitalBanking Security Fintech,2022-06-15 13:34:46
218,2850371168813674565,yapuae,"In a few steps, unlock the world of secure, smart, and transparent banking.

Banking made easy at the palm of your hand 🤳",2022-05-31 15:26:08,https://www.instagram.com/p/CeOjXnjJ3BF,43,3,17946782827973769,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-05-31 15:29:25
219,2850371168813674565,yapuae,"In a few steps, unlock the world of secure, smart, and transparent banking.

Banking made easy at the palm of your hand 🤳",2022-05-31 15:26:08,https://www.instagram.com/p/CeOjXnjJ3BF,43,3,17879436914682759,tallyali95,,2022-06-01 16:12:54
220,2849545136040719206,yapuae,"Press pause on overdue bills and go back to “YAP & Chill” 😉

With YAP you can find out when your bill is overdue and pay in just a few clicks.
Download the app today 📲",2022-05-30 12:05:35,https://www.instagram.com/p/CeLnjQlJjNm,103,6,17936091194169720,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-05-30 12:05:55
